id,price,airline,duration,travelDate,lookupDate
aY5J2vGYquSLU1JR9XRoIR004,291.95,B6,702,"Thu, 26 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
aY5J2vGYquSLU1JR9XRoIR00E,338.55,UA,794,"Thu, 26 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
aY5J2vGYquSLU1JR9XRoIR003,339.6,SY,490,"Thu, 26 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
aY5J2vGYquSLU1JR9XRoIR007,375.75,B6,598,"Thu, 26 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
aY5J2vGYquSLU1JR9XRoIR001,382.25,B6,404,"Thu, 26 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
aY5J2vGYquSLU1JR9XRoIR006,382.6,UA,581,"Thu, 26 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
aY5J2vGYquSLU1JR9XRoIR008,405.72,B6,632,"Thu, 26 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
aY5J2vGYquSLU1JR9XRoIR00J,417.6,UA,686,"Thu, 26 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
aY5J2vGYquSLU1JR9XRoIR002,428.1,UA,407,"Thu, 26 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
aY5J2vGYquSLU1JR9XRoIR00B,436.53,B6,606,"Thu, 26 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
aY5J2vGYquSLU1JR9XRoIR00C,453.15,B6,605,"Thu, 26 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
aY5J2vGYquSLU1JR9XRoIR00F,453.15,B6,701,"Thu, 26 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
aY5J2vGYquSLU1JR9XRoIR00I,493.72,B6,636,"Thu, 26 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
aY5J2vGYquSLU1JR9XRoIR009,502.1,UA,539,"Thu, 26 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
aY5J2vGYquSLU1JR9XRoIR00A,502.1,UA,544,"Thu, 26 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
aY5J2vGYquSLU1JR9XRoIR00G,506.6,UA,597,"Thu, 26 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
aY5J2vGYquSLU1JR9XRoIR00K,506.6,UA,649,"Thu, 26 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
aY5J2vGYquSLU1JR9XRoIR005,517.45,B6,409,"Thu, 26 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
aY5J2vGYquSLU1JR9XRoIR00D,618.1,VX,405,"Thu, 26 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
aY5J2vGYquSLU1JR9XRoIR00H,659.1,UA,395,"Thu, 26 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
JVTu6vtrVwNTCOCdCOCWhU001,273.1,B6,404,"Sun, 15 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
JVTu6vtrVwNTCOCdCOCWhU002,273.1,B6,409,"Sun, 15 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
JVTu6vtrVwNTCOCdCOCWhU00B,306.6,AS,580,"Sun, 15 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
JVTu6vtrVwNTCOCdCOCWhU009,310.6,UA,527,"Sun, 15 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
JVTu6vtrVwNTCOCdCOCWhU00C,310.6,UA,589,"Sun, 15 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
JVTu6vtrVwNTCOCdCOCWhU003,318.1,UA,395,"Sun, 15 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
JVTu6vtrVwNTCOCdCOCWhU005,318.1,UA,417,"Sun, 15 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
JVTu6vtrVwNTCOCdCOCWhU004,318.1,VX,405,"Sun, 15 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
JVTu6vtrVwNTCOCdCOCWhU00H,335.6,UA,645,"Sun, 15 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
JVTu6vtrVwNTCOCdCOCWhU00D,338.6,UA,545,"Sun, 15 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
JVTu6vtrVwNTCOCdCOCWhU00J,350.6,UA,625,"Sun, 15 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
JVTu6vtrVwNTCOCdCOCWhU00I,365.6,UA,585,"Sun, 15 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
JVTu6vtrVwNTCOCdCOCWhU00E,365.6,UA,525,"Sun, 15 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
JVTu6vtrVwNTCOCdCOCWhU008,368.1,UA,419,"Sun, 15 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
JVTu6vtrVwNTCOCdCOCWhU006,368.1,UA,399,"Sun, 15 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
JVTu6vtrVwNTCOCdCOCWhU007,368.1,UA,407,"Sun, 15 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
JVTu6vtrVwNTCOCdCOCWhU00F,376.6,B6,507,"Sun, 15 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
JVTu6vtrVwNTCOCdCOCWhU00K,380.6,UA,565,"Sun, 15 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
JVTu6vtrVwNTCOCdCOCWhU00A,428.1,UA,419,"Sun, 15 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
JVTu6vtrVwNTCOCdCOCWhU00G,498.1,UA,407,"Sun, 15 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
InyvjiP1i31UPW8NkJZ4Y0007,303.17,B6,716,"Fri, 27 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
InyvjiP1i31UPW8NkJZ4Y0001,330.26,B6,409,"Fri, 27 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
InyvjiP1i31UPW8NkJZ4Y0002,339.6,SY,490,"Fri, 27 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
InyvjiP1i31UPW8NkJZ4Y0004,376.6,SY,485,"Fri, 27 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
InyvjiP1i31UPW8NkJZ4Y0006,381.5,B6,606,"Fri, 27 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
InyvjiP1i31UPW8NkJZ4Y0003,444.66,B6,408,"Fri, 27 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
InyvjiP1i31UPW8NkJZ4Y000E,453.15,B6,702,"Fri, 27 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
InyvjiP1i31UPW8NkJZ4Y0009,453.15,B6,632,"Fri, 27 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
InyvjiP1i31UPW8NkJZ4Y000F,506.6,UA,592,"Fri, 27 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
InyvjiP1i31UPW8NkJZ4Y000C,506.6,UA,554,"Fri, 27 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
InyvjiP1i31UPW8NkJZ4Y0008,506.6,UA,496,"Fri, 27 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
InyvjiP1i31UPW8NkJZ4Y000A,506.6,UA,510,"Fri, 27 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
